t_ms,I_nA,u_mWmm2
0.0,0.0,0
0.1,0.0,0
0.2,0.0,0
0.30000000000000004,0.0,0
0.4,0.0,0
0.5,0.0,0
0.6000000000000001,0.0,0
0.7,0.0,0
0.8,0.0,0
0.9,0.0,0
1.0,0.0,0
1.1,0.0,0
1.2000000000000002,0.0,0
1.3,0.0,0
1.4,0.0,0
1.5,0.0,0
1.6,0.0,0
1.7000000000000002,0.0,0
1.8,0.0,0
1.9,0.0,0
2.0,0.0,0
2.1,0.0,0
2.2,0.0,0
2.3,0.0,0
2.4000000000000004,0.0,0
2.5,0.0,0
2.6,0.0,0
2.7,0.0,0
2.8,0.0,0
2.9000000000000004,0.0,0
3.0,0.0,0
3.1,0.0,0
3.2,0.0,0
3.3,0.0,0
3.4000000000000004,0.0,0
3.5,0.0,0
3.6,0.0,0
3.7,0.0,0
3.8,0.0,0
3.9000000000000004,0.0,0
4.0,0.0,0
4.1000000000000005,0.0,0
4.2,0.0,0
4.3,0.0,0
4.4,0.0,0
4.5,0.0,0
4.6,0.0,0
4.7,0.0,0
4.800000000000001,0.0,0
4.8999999999999995,0.0,0
5.0,0.0,0
5.1000000000000005,0.0,0
5.2,0.0,0
5.3,0.0,0
5.4,0.0,0
5.5,0.0,0
5.6,0.0,0
5.7,0.0,0
5.800000000000001,0.0,0
5.8999999999999995,0.0,0
6.0,0.0,0
6.1000000000000005,0.0,0
6.2,0.0,0
6.3,0.0,0
6.4,0.0,0
6.5,0.0,0
6.6,0.0,0
6.7,0.0,0
6.800000000000001,0.0,0
6.9,0.0,0
7.0,0.0,0
7.1000000000000005,0.0,0
7.2,0.0,0
7.3,0.0,0
7.4,0.0,0
7.5,0.0,0
7.6,0.0,0
7.7,0.0,0
7.800000000000001,0.0,0
7.9,0.0,0
8.0,0.0,0
8.1,0.0,0
8.200000000000001,0.0,0
8.3,0.0,0
8.4,0.0,0
8.5,0.0,0
8.6,0.0,0
8.700000000000001,0.0,0
8.8,0.0,0
8.9,0.0,0
9.0,0.0,0
9.1,0.0,0
9.2,0.0,0
9.3,0.0,0
9.4,0.0,0
9.5,0.0,0
9.600000000000001,0.0,0
9.7,0.0,0
9.799999999999999,0.0,0
9.9,0.0,0
10.0,0.0,20
10.100000000000001,0.0,20
10.200000000000001,0.16085677797314155,20
10.3,0.3161853506262678,20
10.4,0.46616470430209367,20
10.5,0.6109680687935874,20
10.6,0.7507631023247459,20
